traj_id,dis1,time_period_x,time_period_y,time_period_mid,dis1_res,dis2_res
0,2.3055179083017876,17,18,17.5,0.1243753915229726,0.7291666666666666
1,2.0230313397522144,18,18,18.0,0.10913613554633449,0.75
2,2.2552000678579645,19,19,19.0,0.12166090334517278,0.7916666666666666
3,0.8988931403552443,20,20,20.0,0.048492438886041156,0.8333333333333334
4,0.49446963220693657,20,20,20.0,0.02667507108945336,0.8333333333333334
5,1.5066900501349076,20,21,20.5,0.08128115778867621,0.8541666666666666
6,3.1430251753031024,21,21,21.0,0.16955625689883516,0.875
7,3.701970866605627,21,21,21.0,0.19970960723521872,0.875
8,3.9971633761575145,22,22,22.0,0.2156343084999373,0.9166666666666666
10,3.9874328166098434,22,22,22.0,0.21510937562081228,0.9166666666666666
12,3.439221923972101,0,0,0.0,0.18553513368434393,0.0
14,3.5516837332156665,17,17,17.0,0.19160209222137534,0.7083333333333334
15,5.085144060021189,17,18,17.5,0.2743274216775527,0.7291666666666666
17,4.255015091091444,19,19,19.0,0.22954459212180692,0.7916666666666666
18,2.7108596808328347,20,20,20.0,0.14624229677564068,0.8333333333333334
19,5.540530611574133,21,21,21.0,0.29889408430886283,0.875
20,4.16444541229498,22,22,22.0,0.22465864470849126,0.9166666666666666
21,2.7023881770110907,22,22,22.0,0.14578528596656226,0.9166666666666666
22,2.3490057012897845,23,23,23.0,0.12672142026552796,0.9583333333333334
23,2.6905715351895574,8,8,8.0,0.14514781555362477,0.3333333333333333
26,1.429162927509632,10,10,10.0,0.07709881498602557,0.4166666666666667
27,1.2336976396307087,10,10,10.0,0.06655408157859832,0.4166666666666667
28,1.97316871395574,11,11,11.0,0.10644620475747844,0.4583333333333333
29,2.202887210139717,11,11,11.0,0.11883879030195414,0.4583333333333333
30,2.074832526997186,11,11,11.0,0.11193064558754855,0.4583333333333333
31,1.9939330668484019,11,11,11.0,0.1075663758528521,0.4583333333333333
32,1.3685118108944547,12,12,12.0,0.07382687927554801,0.5
33,1.2505283404969978,13,13,13.0,0.06746204460170607,0.5416666666666666
34,0.8732130241014215,14,14,14.0,0.047107077921407704,0.5833333333333334
35,1.3759890474057246,15,15,15.0,0.074230252511232,0.625
36,1.7597888185775594,16,16,16.0,0.09493503499591256,0.6666666666666666
37,1.2521634558934873,16,16,16.0,0.06755025390031587,0.6666666666666666
38,1.3776396349946525,17,17,17.0,0.07431929648563645,0.7083333333333334
39,3.0254242989772457,7,8,7.5,0.16321206196380345,0.3125
41,2.8433233501275703,9,9,9.0,0.15338829233341872,0.375
42,3.524312005664691,11,11,11.0,0.19012547418316617,0.4583333333333333
43,3.576768817366671,11,11,11.0,0.19295535308802636,0.4583333333333333
44,3.1041227089056145,12,12,12.0,0.16745759200797736,0.5
45,2.398656656354514,12,12,12.0,0.129399932088589,0.5
46,1.4017977624061557,12,12,12.0,0.07562255097108124,0.5
47,1.479750444090835,13,13,13.0,0.07982785133760024,0.5416666666666666
48,9.14555640563659,14,15,14.5,0.4933738118236238,0.6041666666666666
49,4.391544149730257,15,15,15.0,0.23690990256304012,0.625
50,1.474220770977093,16,16,16.0,0.0795295429809229,0.6666666666666666
51,0.8485819265586082,17,17,17.0,0.04577830819487608,0.7083333333333334
52,0.8871180019088666,17,18,17.5,0.04785720744878713,0.7291666666666666
54,1.2514444559972777,19,19,19.0,0.06751146613238138,0.7916666666666666
56,0.44003985758481756,20,20,20.0,0.02373875708176053,0.8333333333333334
57,3.1695678052850598,20,20,20.0,0.17098814774824825,0.8333333333333334
58,1.7563355836901742,5,5,5.0,0.09474874390721932,0.20833333333333334
59,2.757051009866144,6,6,6.0,0.1487341727280231,0.25
61,2.3320459728550698,6,6,6.0,0.12580649661362509,0.25
62,2.31748321709274,6,7,6.5,0.1250208820482074,0.2708333333333333
63,4.147875106218245,0,0,0.0,0.22376472915982934,0.0
64,11.483035156354626,0,1,0.5,0.6194733896019324,0.020833333333333332
65,4.052024878141459,1,1,1.0,0.21859391283188437,0.041666666666666664
66,6.420982119352273,5,5,5.0,0.3463916555064593,0.20833333333333334
68,2.8953915286564755,8,8,8.0,0.15619720570906487,0.3333333333333333
69,2.735968348454841,9,9,9.0,0.1475968298958833,0.375
70,2.895148961628851,9,9,9.0,0.15618411998592965,0.375
71,2.7765667251349613,10,10,10.0,0.14978698377697217,0.4166666666666667
72,2.9903161339906603,10,10,10.0,0.16131808762071276,0.4166666666666667
73,2.210977219374471,10,11,10.5,0.11927522068593592,0.4375
74,1.950468904339698,11,11,11.0,0.10522162189983682,0.4583333333333333
75,2.619065138718833,12,12,12.0,0.14129027186445248,0.5
76,3.4416973693024855,13,13,13.0,0.1856686761222715,0.5416666666666666
78,2.850004705114496,14,14,14.0,0.1537487302807496,0.5833333333333334
79,2.6540996090213143,14,14,14.0,0.14318027061266464,0.5833333333333334
80,3.097742162400019,15,15,15.0,0.1671133817258076,0.625
81,3.00723355166116,15,15,15.0,0.16223072874084873,0.625
83,1.4869969166460204,11,11,11.0,0.08021877558848821,0.4583333333333333
84,1.5573859012091755,16,16,16.0,0.08401603844314781,0.6666666666666666
85,1.4708166131180727,17,17,17.0,0.07934589944252439,0.7083333333333334
87,0.8683398281169936,19,19,19.0,0.04684418442734769,0.7916666666666666
88,1.4945210572856669,8,8,8.0,0.0806246791533923,0.3333333333333333
90,1.1084708118302304,13,13,13.0,0.05979849070646462,0.5416666666666666
91,0.9126457588206158,14,14,14.0,0.0492343491093092,0.5833333333333334
92,0.7775180493920487,14,14,14.0,0.04194463702107823,0.5833333333333334
93,6.109973449059838,8,9,8.5,0.32961372244622417,0.3541666666666667
94,2.3871715932816238,9,9,9.0,0.12878034929931065,0.375
95,2.891090082837406,10,11,10.5,0.15596515632617558,0.4375
96,2.667904097737683,11,11,11.0,0.14392497907174465,0.4583333333333333
98,3.085665641746731,12,13,12.5,0.16646189167271394,0.5208333333333334
